procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 4  0      0 1719696 107848 4064712    0    0     0  8350 20465 39219 57 12 30  2  0  0 2026-09-09 20:43:24
 5  0      0 1727436 107848 4066256    0    0     0  2839 22141 41320 55 11 32  3  0  0 2026-09-09 20:43:29
 4  0      0 1717548 107848 4067936    0    0     0  2393 20336 36287 53  9 36  2  0  0 2026-09-09 20:43:34
 5  0      0 1715920 107848 4069536    0    0     0  2945 21932 37243 45  8 45  2  0  0 2026-09-09 20:43:39
10  0      0 1634496 107848 4071104    0    0     0  2470 21494 40647 56 11 31  2  0  0 2026-09-09 20:43:44
 5  0      0 1715796 107848 4072700    0    0     0  2652 21049 40470 60 11 27  2  0  0 2026-09-09 20:43:49
 4  0      0 1695276 107848 4074328    0    0     0  2211 21568 36910 46  9 44  2  0  0 2026-09-09 20:43:54
 3  0      0 1698104 107848 4075932    0    0     0  2870 20864 37704 53 10 35  2  0  0 2026-09-09 20:43:59
 4  1      0 1703100 107848 4077396    0    0     0  3062 21619 39151 53 10 35  2  0  0 2026-09-09 20:44:04
 2  0      0 1702796 107848 4079048    0    0     0  4120 20126 40617 65 12 21  2  0  0 2026-09-09 20:44:09
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  0      0 1695492 107848 4080608    0    0     0  3384 22106 37088 44  8 46  2  0  0 2026-09-09 20:44:14
 6  0      0 1684976 107848 4082152    0    0     0  4046 21657 37003 45  9 45  2  0  0 2026-09-09 20:44:19
 2  0      0 1691928 107848 4083752    0    0     0  9350 19548 38308 62 11 25  2  0  0 2026-09-09 20:44:24
 5  0      0 1696312 107848 4085228    0    0     0  4004 22557 41600 56 10 31  3  0  0 2026-09-09 20:44:29
 1  0      0 1688600 107848 4086832    0    0     0  2759 20179 36334 54 10 35  2  0  0 2026-09-09 20:44:34
 1  1      0 1693764 107848 4088408    0    0     0  3785 21978 36738 44  8 46  2  0  0 2026-09-09 20:44:39
 9  0      0 1612144 107848 4089932    0    0     0  3239 20892 39821 60 11 27  2  0  0 2026-09-09 20:44:44
 3  0      0 1686116 107848 4091664    0    0     0  3249 19817 38791 63 11 24  2  0  0 2026-09-09 20:44:49
 3  0      0 1682340 107848 4093248    0    0     0  3086 21851 36860 45  8 45  2  0  0 2026-09-09 20:44:54
