procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  0      0 3647164 102240 2254964    0    0     0  2157 21114 36448 50  8 40  2  0  0 2026-09-09 09:51:33
 9  0      0 3603780 102240 2256304    0    0     0  2873 20216 36052 52  9 38  1  0  0 2026-09-09 09:51:38
 3  0      0 3637812 102240 2257584    0    0     0  2790 19179 33444 55  8 36  1  0  0 2026-09-09 09:51:43
 2  0      0 3639472 102240 2259064    0    0     0  7695 20581 36208 51  8 40  1  0  0 2026-09-09 09:51:48
 1  0      0 3642168 102240 2260264    0    0     0  1962 18895 34250 58  9 32  1  0  0 2026-09-09 09:51:53
 4  0      0 3642232 102240 2261676    0    0     0  1634 21059 36211 49  8 41  2  0  0 2026-09-09 09:51:58
 3  0      0 3638900 102240 2263148    0    0     0  1701 17591 33104 63  9 26  1  0  0 2026-09-09 09:52:03
 3  0      0 3637568 102240 2264536    0    0     8  1581 20533 35780 50  8 41  2  0  0 2026-09-09 09:52:08
 8  0      0 3609944 102240 2265880    0    0     0  2798 20403 35761 48  8 42  2  0  0 2026-09-09 09:52:13
 1  0      0 3611804 102240 2267256    0    0     0  1686 19523 35013 57  9 32  1  0  0 2026-09-09 09:52:18
 2  0      0 3623488 102240 2268540    0    0     0  2898 20694 35834 49  8 42  2  0  0 2026-09-09 09:52:23
 3  0      0 3614832 102240 2269948    0    0     0  2889 18921 34756 58  9 31  1  0  0 2026-09-09 09:52:28
 1  0      0 3626360 102240 2271328    0    0     0  2813 20886 35986 49  8 41  2  0  0 2026-09-09 09:52:33
 2  0      0 3552172 102240 2272768    0    0     0  3544 19154 34892 57  9 32  1  0  0 2026-09-09 09:52:38
 2  0      0 3633156 102240 2274032    0    0     0  2350 20763 35970 49  8 41  2  0  0 2026-09-09 09:52:43
 6  1      0 3614328 102240 2275396    0    0     0  8210 20715 36077 50  8 40  2  0  0 2026-09-09 09:52:48
 4  0      0 3626968 102240 2276756    0    0     0  2041 18737 33903 58  9 32  1  0  0 2026-09-09 09:52:53
 5  0      0 3619640 102240 2278192    0    0     0  2282 20448 35271 48  8 43  1  0  0 2026-09-09 09:52:58
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  1      0 3617260 102240 2279532    0    0     0  2169 18924 34842 58  9 31  1  0  0 2026-09-09 09:53:03
 1  0      0 3625324 102240 2280908    0    0     0  3664 20445 35254 49  8 42  2  0  0 2026-09-09 09:53:08
 8  0      0 3555036 102240 2282296    0    0     0  2096 19676 35446 54  9 36  1  0  0 2026-09-09 09:53:13
 1  0      0 3617052 102240 2283684    0    0     0  2114 19457 33914 52  8 39  1  0  0 2026-09-09 09:53:18
 2  0      0 3620112 102240 2285112    0    0     0  2283 21103 36299 49  8 42  2  0  0 2026-09-09 09:53:23
 3  0      0 3601972 102240 2286440    0    0     0  2074 19611 35476 56  9 33  1  0  0 2026-09-09 09:53:28
 5  0      0 3605592 102240 2287792    0    0     0  2054 20553 35286 47  8 43  2  0  0 2026-09-09 09:53:33
 2  0      0 3588408 102240 2289252    0    0     0  3450 19874 36131 57 10 32  1  0  0 2026-09-09 09:53:38
 2  0      0 3601248 102240 2290640    0    0     0  1982 19955 34734 49  7 42  2  0  0 2026-09-09 09:53:43
 4  0      0 3572380 102240 2292184    0    0     0  8001 19834 35024 52  9 37  1  0  0 2026-09-09 09:53:48
 2  0      0 3605896 102240 2293436    0    0     0  2070 20207 36004 54  9 36  1  0  0 2026-09-09 09:53:53
 1  0      0 3608072 102240 2294800    0    0     0  2649 20341 35146 48  8 42  2  0  0 2026-09-09 09:53:58
 2  0      0 3604812 102240 2296168    0    0     0  2075 19032 34819 58  9 32  1  0  0 2026-09-09 09:54:03
 6  0      0 3605048 102240 2297532    0    0     0  2072 20684 35568 49  8 42  2  0  0 2026-09-09 09:54:08
 4  0      0 3560656 102240 2298976    0    0     0  1952 19015 34607 57 10 32  1  0  0 2026-09-09 09:54:13
 3  0      0 3581128 102240 2300300    0    0     0  2784 20994 36444 49  8 41  2  0  0 2026-09-09 09:54:18
 1  0      0 3596836 102240 2301668    0    0     0  2055 20887 36001 48  8 42  2  0  0 2026-09-09 09:54:23
 3  0      0 3592468 102240 2303112    0    0     0  1736 19059 34367 58  9 32  1  0  0 2026-09-09 09:54:28
 3  0      0 3595468 102240 2304392    0    0     0  2606 20729 35828 48  8 42  2  0  0 2026-09-09 09:54:33
