procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 4  0      0 3397984 103824 2443412    0    0     0  3672 21819 41298 60 11 27  2  0  0 2026-09-09 10:33:36
 2  0      0 3394124 103824 2444764    0    0     0  2694 19523 39101 65 11 22  2  0  0 2026-09-09 10:33:41
 5  0      0 3381192 103824 2446112    0    0     0  2562 22345 38076 48  8 41  2  0  0 2026-09-09 10:33:46
 6  0      0 3348780 103824 2447352    0    0     0  2166 21257 37396 49  9 40  2  0  0 2026-09-09 10:33:51
 9  0      0 3386076 103824 2448700    0    0     0  2704 20513 40181 65 11 22  2  0  0 2026-09-09 10:33:56
 1  0      0 3384508 103824 2450024    0    0     0  3356 21701 40721 57 10 30  2  0  0 2026-09-09 10:34:01
 2  0      0 3355080 103824 2451340    0    0     0  1948 19881 36171 57 10 32  2  0  0 2026-09-09 10:34:06
 3  0      0 3389980 103824 2452648    0    0     0  7850 21071 36044 49  8 41  2  0  0 2026-09-09 10:34:11
 3  1      0 3315120 103824 2453996    0    0     0  3317 19706 39973 65 11 21  2  0  0 2026-09-09 10:34:16
 2  0      0 3386936 103824 2455244    0    0     0  2933 21764 40844 58 10 30  2  0  0 2026-09-09 10:34:21
 3  0      0 3387004 103824 2456488    0    0     0  2066 21134 35931 48  8 42  2  0  0 2026-09-09 10:34:26
 9  0      0 3381736 103824 2457776    0    0     0  2053 20551 38001 60 10 29  2  0  0 2026-09-09 10:34:31
 3  0      0 3389172 103824 2459096    0    0     0  3715 21816 41346 59 10 29  2  0  0 2026-09-09 10:34:36
 2  0      0 3366668 103824 2460540    0    0     0  2548 20020 40641 65 11 21  2  0  0 2026-09-09 10:34:41
 3  0      0 3373464 103824 2461884    0    0     0  2412 21743 37310 48  8 42  2  0  0 2026-09-09 10:34:46
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
18  0      0 3327516 103824 2463168    0    0     0  2046 20287 35753 51  9 39  2  0  0 2026-09-09 10:34:51
 7  0      0 3358104 103824 2464532    0    0     0  2897 20578 40974 64 11 24  2  0  0 2026-09-09 10:34:56
 5  0      0 3360496 103824 2465980    0    0     0  3437 21556 41060 58 10 30  2  0  0 2026-09-09 10:35:01
 3  0      0 3369464 103824 2467300    0    0     0  1954 20205 37201 57 10 31  2  0  0 2026-09-09 10:35:06
 2  0      0 3380612 103824 2468704    0    0     0  2054 21478 36858 48  8 42  2  0  0 2026-09-09 10:35:11
 3  0      0 3339680 103824 2470020    0    0     0  9253 19322 39842 67 12 19  2  0  0 2026-09-09 10:35:16
 2  0      0 3379632 103824 2471332    0    0     0  2918 21534 41175 58 10 29  2  0  0 2026-09-09 10:35:21
12  0      0 3365884 103824 2472676    0    0     0  2017 21549 36423 47  8 44  2  0  0 2026-09-09 10:35:26
 2  0      0 3345836 103824 2474060    0    0     0  2056 19979 36406 57 10 32  2  0  0 2026-09-09 10:35:31
 3  0      0 3364464 103824 2475452    0    0     0  3312 20121 38865 61 10 26  2  0  0 2026-09-09 10:35:36
 2  0      0 3350660 103824 2476888    0    0     0  2709 19965 40529 66 12 21  2  0  0 2026-09-09 10:35:41
 2  0      0 3358000 103824 2478184    0    0     0  2182 22332 38307 49  8 41  2  0  0 2026-09-09 10:35:46
10  0      0 3297936 103824 2479456    0    0     0  2542 20387 36138 54  9 35  1  0  0 2026-09-09 10:35:51
 2  0      0 3360564 103824 2480872    0    0     0  2876 20779 40385 61 10 27  2  0  0 2026-09-09 10:35:56
 2  0      0 3345056 103824 2482184    0    0     0  2830 22198 41888 58 11 29  3  0  0 2026-09-09 10:36:01
 5  0      0 3353252 103824 2483480    0    0     0  2551 20706 37283 56 10 33  1  0  0 2026-09-09 10:36:06
 6  0      0 3361244 103824 2484876    0    0     0  1915 21305 36524 48  8 42  2  0  0 2026-09-09 10:36:11
 5  0      0 3348764 103824 2486188    0    0     0  8434 18724 38405 67 12 20  2  0  0 2026-09-09 10:36:16
 1  1      0 3362836 103824 2487524    0    0     0  3416 21733 41924 59 10 28  2  0  0 2026-09-09 10:36:21
 7  0      0 3319504 103824 2488852    0    0     0  2210 21417 37058 50  9 39  2  0  0 2026-09-09 10:36:26
 2  0      0 3350180 103824 2490176    0    0     0  2014 20681 37157 56  9 33  2  0  0 2026-09-09 10:36:31
