procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  0      0 2638836 107788 3183864    0    0     0  3542 22354 42745 52 11 35  2  0  0 2026-09-09 19:57:28
 1  0      0 2648028 107788 3185160    0    0     0  1914 22475 38784 40  8 51  2  0  0 2026-09-09 19:57:33
 1  0      0 2613012 107788 3186520    0    0     0  2054 21107 38724 50 10 38  2  0  0 2026-09-09 19:57:38
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  0      0 2638404 107788 3187880    0    0     0  2846 23722 44077 51 11 36  3  0  0 2026-09-09 19:57:43
 4  0      0 2627028 107788 3189180    0    0     0  9256 20690 40912 60 12 26  2  0  0 2026-09-09 19:57:48
 4  1      0 2622008 107788 3190548    0    0     0  2003 23011 40578 41  8 49  2  0  0 2026-09-09 19:57:53
 7  0      0 2615136 107788 3191764    0    0     0  2478 22582 39494 41  8 48  2  0  0 2026-09-09 19:57:58
 1  0      0 2616916 107788 3193248    0    0    11  2591 21726 42754 60 11 26  2  0  0 2026-09-09 19:58:03
 2  0      0 2625816 107788 3194616    0    0     0  6684 23700 44080 49 11 38  3  0  0 2026-09-09 19:58:08
 1  0      0 2605028 107788 3195836    0    0     0  6415 21438 38761 49 10 40  2  0  0 2026-09-09 19:58:13
 3  1      0 2616736 107788 3197120    0    0     0  7570 22702 39746 41  8 49  2  0  0 2026-09-09 19:58:18
 4  0      0 2545520 107788 3198424    0    0     0  2506 21141 41166 59 11 27  2  0  0 2026-09-09 19:58:23
