Tue Sep  8 04:55:28 PM UTC 2026
flash-cloud-bench-consumer-1 7.91% 34.81MiB / 7.38GiB 14.1MB / 20.9MB
flash-cloud-bench-publisher-1 5.04% 34.91MiB / 7.38GiB 11.7MB / 16.9MB
flash-cloud-bench-simulator-1 3.61% 35.61MiB / 7.38GiB 13.2MB / 16.7MB
flash-cloud-bench-maintenance-1 3.68% 34.8MiB / 7.38GiB 219MB / 747MB
flash-cloud-bench-pgbouncer-1 5.44% 2.887MiB / 7.38GiB 378MB / 377MB
flash-cloud-bench-postgres-1 103.20% 163.1MiB / 7.38GiB 131MB / 255MB
flash-cloud-bench-kafka-1 2.95% 766.5MiB / 7.38GiB 9.43MB / 8MB
flash-cloud-bench-prometheus-1 0.20% 91.73MiB / 7.38GiB 2.67MB / 397kB
Tue Sep  8 04:59:05 PM UTC 2026
flash-cloud-bench-api-1 83.06% 98.96MiB / 7.38GiB 1.39GB / 917MB
flash-cloud-bench-redis-1 23.97% 64.5MiB / 7.38GiB 830MB / 1.34GB
flash-cloud-bench-consumer-1 4.99% 34.82MiB / 7.38GiB 14.7MB / 21.8MB
flash-cloud-bench-publisher-1 3.67% 34.91MiB / 7.38GiB 12.1MB / 17.6MB
flash-cloud-bench-simulator-1 2.87% 35.61MiB / 7.38GiB 13.6MB / 17.2MB
flash-cloud-bench-maintenance-1 22.78% 34.8MiB / 7.38GiB 226MB / 772MB
flash-cloud-bench-pgbouncer-1 8.34% 2.891MiB / 7.38GiB 390MB / 389MB
flash-cloud-bench-postgres-1 60.63% 163.8MiB / 7.38GiB 135MB / 263MB
flash-cloud-bench-kafka-1 2.69% 785.4MiB / 7.38GiB 9.83MB / 8.34MB
flash-cloud-bench-prometheus-1 0.15% 91.73MiB / 7.38GiB 2.75MB / 409kB
Tue Sep  8 04:59:17 PM UTC 2026
flash-cloud-bench-api-1 76.77% 99.02MiB / 7.38GiB 1.46GB / 961MB
flash-cloud-bench-redis-1 11.44% 64.32MiB / 7.38GiB 854MB / 1.41GB
flash-cloud-bench-consumer-1 7.14% 34.82MiB / 7.38GiB 15.3MB / 22.7MB
flash-cloud-bench-publisher-1 4.92% 34.91MiB / 7.38GiB 12.5MB / 18.2MB
flash-cloud-bench-simulator-1 2.90% 35.61MiB / 7.38GiB 14MB / 17.6MB
flash-cloud-bench-maintenance-1 6.11% 34.8MiB / 7.38GiB 232MB / 792MB
flash-cloud-bench-pgbouncer-1 5.77% 2.902MiB / 7.38GiB 402MB / 401MB
flash-cloud-bench-postgres-1 101.27% 167.8MiB / 7.38GiB 139MB / 271MB
flash-cloud-bench-kafka-1 2.80% 804.5MiB / 7.38GiB 10.2MB / 8.68MB
flash-cloud-bench-prometheus-1 0.20% 91.73MiB / 7.38GiB 2.84MB / 420kB
Tue Sep  8 04:59:29 PM UTC 2026
flash-cloud-bench-api-1 86.13% 108.4MiB / 7.38GiB 1.53GB / 1GB
flash-cloud-bench-redis-1 25.23% 64.34MiB / 7.38GiB 882MB / 1.47GB
